date_opened,ticker,strategy,vol_filter,entry_signal,entry_score,entry_gate_flag,entry_price,regime_at_entry,rsi_at_entry,volume_ratio,kelly_fraction,position_size_gbp,date_closed,exit_reason,exit_price,stop_level,target_level,pnl_usd,return_pct,days_held,peak_gain,peak_loss,strategy_return,bh_return,market_ret_during_hold,notes
2005-09-08 23:00:00+00:00,ATO,optimised_new,daily-rescreened,BUY,7.0,BUY,21.1693,1.0,50.02,3.57,0.1,6287.2821,2005-10-10 19:00:00+00:00,"rr_stop_loss(8.9% loss, risk=8%)",19.2906,19.4757,21169.2845,-569.9904902999996,-0.08874643941934776,31,0.013585711383938118,-0.08874643941934776,-0.001543324077330821,-0.0876067072436918,-0.08874595637919269,
2005-09-11 22:00:00+00:00,DPZ,optimised_new,daily-rescreened,BUY,6.0,BUY,11.6614,0.4364,53.5,1.34,0.1,5667.4404,2005-09-13 18:00:00+00:00,regime_forced(signal=-0.10),10.805,10.7285,11661.4003,-427.12907040000067,-0.07343886668839082,1,0.0,-0.07343886668839082,0.0009707740750581895,0.008053814112940705,-0.07343582372318114,
2005-09-12 22:00:00+00:00,EQT,optimised_new,daily-rescreened,BUY,6.0,BUY,19.7673,1.0,51.28,1.15,0.1,5692.9824,2005-10-04 18:00:00+00:00,"trailing_stop(3.8% from peak, still +0.4% from entry)",19.8555,18.1859,19767.2573,13.990233600000357,0.0044619143737384724,21,0.043759137565575576,-0.0297865667035963,0.016397781214544604,0.09629578234307545,0.004462672183000782,
2005-09-13 20:00:00+00:00,IEX,optimised_new,daily-rescreened,BUY,8.0,BUY,25.7349,0.9234,59.91,3.95,0.1,6279.3156,2005-09-22 19:00:00+00:00,"rr_stop_loss(8.5% loss, risk=8%)",23.5496,23.6761,25734.8888,-545.2386179999996,-0.08491581471076236,8,0.0,-0.08491581471076236,0.009319174164401423,0.07265768701504305,-0.08491710698001742,
2005-09-19 22:00:00+00:00,WRB,optimised_new,daily-rescreened,BUY,7.0,BUY,5.9145,0.9987,47.05,1.26,0.1,6446.805,2005-09-21 23:00:00+00:00,"trailing_stop(3.5% from peak, still +0.4% from entry)",5.9382,5.4414,5914.5334,12.91355699999944,0.004007101191985769,2,0.040696593118606725,-0.007473159185053684,0.016569403596645937,0.011752726591733431,0.004003482626466104,
2005-09-25 20:00:00+00:00,IEX,optimised_new,daily-rescreened,BUY,8.0,BUY,24.8686,0.9196,60.49,3.95,0.1,7560.0544,2005-10-20 00:00:00+00:00,"rr_stop_loss(8.2% loss, risk=8%)",22.8174,22.8791,24868.6361,-638.0613439999998,-0.08248152288427983,24,0.0,-0.08248152288427983,0.004216587280804651,0.039305884974261796,-0.08248089879890363,
2005-09-25 23:00:00+00:00,WRB,optimised_new,daily-rescreened,BUY,6.0,BUY,6.057,0.9981,47.53,1.26,0.1,6814.125,2005-09-29 22:00:00+00:00,"trailing_stop(3.9% from peak, still +1.1% from entry)",6.1215,5.5724,6056.996,58.86168749999967,0.010648836057454147,3,0.051444609542677794,-0.01731880468878994,0.02036157046059084,0.042987015327211164,0.010653680715488889,
2005-10-05 20:00:00+00:00,EQT,optimised_new,daily-rescreened,BUY,8.0,BUY,20.0215,1.0,53.71,9.62,0.1,7888.471,2005-10-12 22:00:00+00:00,"rr_stop_loss(8.1% loss, risk=8%)",18.3988,18.4198,20021.498,-654.4813981999994,-0.08104787353594876,7,0.014789101715655627,-0.08104787353594876,0.015519919122555015,0.015868710429908006,-0.08104801430551845,
2005-10-09 21:00:00+00:00,WRB,optimised_new,daily-rescreened,BUY,6.0,BUY,6.0157,0.9938,47.45,1.17,0.1,7676.0332,2005-10-20 23:00:00+00:00,signal,6.0179,5.5344,6015.6999,-12.547673599999705,0.00036570972621643397,11,0.029655734162275363,-0.03662084212976045,0.019847633591303815,0.02532640239401407,0.00036193359757286103,
2005-10-16 21:00:00+00:00,EQT,optimised_new,daily-rescreened,BUY,8.0,BUY,19.8135,1.0,58.94,1.6,0.1,9292.531500000001,2005-10-18 18:00:00+00:00,"rr_stop_loss(8.1% loss, risk=8%)",18.2116,18.2284,19813.4942,-769.1248719000002,-0.08084891614303381,1,0.0,-0.08084891614303381,0.014898561077649974,0.005534290817970078,-0.08084536661416797,
2005-10-20 21:00:00+00:00,CPT,optimised_new,daily-rescreened,BUY,6.0,BUY,35.437,0.5523,61.72,1.47,0.1,10666.536999999998,2005-10-25 22:00:00+00:00,"trailing_stop(3.7% from peak, still +0.6% from entry)",35.6399,32.602,35437.0052,39.67875310000188,0.005725653977481154,5,0.044842960747241645,-0.026494906453706488,0.003457845285474548,0.020137772016146194,0.0057280550405875985,
